,Temperatura_archa [°C],O2 [%],Humedad [%],Numero_envases [uds],Tiempo_carga [min]
2319,620,20,42,100,20
2320,629,18,42,100,29
2321,633,20,39,100,23
2322,646,22,42,100,25
2323,599,21,47,100,26
2324,552,22,42,100,22
2325,589,23,44,100,27
2326,614,20,33,100,20
2327,618,22,49,100,26
2328,593,23,36,100,25
2329,554,21,34,100,24
2330,627,20,37,100,27
2331,586,19,31,100,24
2332,596,21,37,100,29
2333,598,23,37,100,27
2334,620,21,39,100,27
2335,582,23,32,100,29
2336,645,21,35,100,20
2337,609,21,38,100,21
2338,567,19,41,100,22
2339,595,22,47,100,23
2340,627,19,45,100,21
2341,581,20,34,100,26
2342,637,19,43,100,29
2343,623,19,49,100,22
2344,639,21,44,100,29
2345,598,21,38,100,22
2346,593,21,31,100,25
2347,574,22,47,100,20
2348,566,20,32,100,29
2349,585,23,37,100,27
2350,553,22,32,100,28
2351,615,19,30,100,29
2352,587,19,42,100,21
2353,566,21,41,100,21
2354,624,20,47,100,22
2355,594,21,33,100,29
2356,583,23,38,100,24
2357,619,20,48,100,21
2358,588,23,44,100,21
2359,614,23,41,100,24
2360,567,21,36,100,25
2361,603,23,33,100,29
2362,568,23,44,100,21
2363,595,18,41,100,25
2364,617,19,48,100,26
2365,591,23,38,100,27
2366,609,22,49,100,23
2367,648,20,30,100,22
2368,612,20,42,100,26
2369,615,20,34,100,27
2370,566,18,39,100,26
2371,565,18,32,100,24
2372,603,22,35,100,22
2373,561,21,34,100,22
2374,637,18,37,100,22
2375,582,21,33,100,24
2376,603,20,31,100,29
2377,629,19,45,100,21
2378,596,22,35,100,28
2379,564,23,46,100,21
2380,581,23,47,100,24
2381,632,21,36,100,21
2382,642,22,40,100,23
2383,608,23,37,100,25
2384,615,18,40,100,21
2385,591,18,48,100,24
2386,573,22,48,100,21
2387,567,21,48,100,23
2388,610,19,42,100,25
2389,625,19,36,100,27
2390,578,23,35,100,22
2391,617,19,36,100,27
2392,598,22,45,100,21
2393,636,23,32,100,28
2394,594,23,38,100,20
2395,600,19,47,100,27
2396,628,19,41,100,25
2397,607,19,38,100,26
2398,557,19,33,100,24
2399,604,22,44,100,21
2400,647,20,33,100,22
2401,582,18,30,100,25
2402,612,18,45,100,22
2403,594,21,32,100,27
2404,591,20,34,100,22
2405,583,21,34,100,22
2406,602,18,44,100,29
2407,587,19,34,100,22
2408,611,21,41,100,20
2409,604,23,47,100,28
2410,613,21,36,100,25
2411,551,21,35,100,21
2412,634,19,42,100,20
2413,588,22,32,100,27
2414,568,21,31,100,29
2415,553,22,39,100,20
2416,573,20,38,100,22
2417,636,20,35,100,24
2418,556,23,47,100,26
2419,587,22,34,100,20
2420,567,19,38,100,23
2421,630,23,46,100,24
2422,587,18,46,100,28
2423,577,18,47,100,26
2424,634,23,35,100,20
2425,587,20,49,100,25
2426,625,20,49,100,21
2427,587,20,31,100,20
2428,561,20,41,100,28
2429,605,18,38,100,20
2430,568,23,32,100,23
2431,637,19,47,100,25
2432,557,19,49,100,25
2433,618,22,37,100,28
2434,611,23,49,100,21
2435,640,21,46,100,28
2436,637,23,33,100,20
2437,640,19,43,100,28
2438,642,23,30,100,29
2439,628,22,44,100,22
2440,574,20,49,100,22
2441,573,21,38,100,27
2442,576,23,40,100,22
2443,578,18,33,100,22
2444,564,22,40,100,20
2445,588,19,33,100,27
2446,637,22,47,100,26
2447,643,19,36,100,27
2448,554,21,33,100,24
2449,605,21,49,100,26
2450,604,20,32,100,23
2451,578,20,40,100,21
2452,635,20,45,100,20
2453,585,22,46,100,27
2454,604,21,36,100,26
2455,565,19,33,100,25
2456,569,22,41,100,24
2457,628,22,43,100,25
2458,646,21,39,100,22
2459,637,20,48,100,24
2460,553,21,40,100,26
2461,610,23,37,100,27
2462,572,22,32,100,22
2463,557,19,37,100,27
2464,642,22,37,100,20
2465,634,23,43,100,20
2466,551,22,32,100,29
2467,632,22,41,100,23
2468,612,22,38,100,25
2469,616,20,41,100,27
2470,560,23,34,100,28
2471,627,19,45,100,23
2472,566,20,37,100,29
2473,586,20,30,100,26
2474,617,20,34,100,27
2475,553,21,42,100,21
2476,621,22,42,100,23
2477,619,20,31,100,24
2478,555,22,33,100,24
2479,593,18,43,100,22
2480,633,20,32,100,24
2481,638,22,39,100,27
2482,634,22,35,100,23
2483,566,19,37,100,25
2484,605,18,32,100,26
2485,561,23,44,100,22
2486,578,19,30,100,25
2487,624,19,42,100,22
2488,557,19,36,100,29
2489,624,18,35,100,20
2490,632,19,47,100,22
2491,613,21,32,100,25
2492,633,18,37,100,21
2493,633,21,36,100,21
2494,594,23,39,100,23
2495,581,22,31,100,24
2496,576,22,40,100,26
2497,571,19,49,100,22
2498,615,21,35,100,21
2499,620,22,38,100,20
2500,616,18,43,100,28
2501,567,23,45,100,27
2502,566,20,48,100,27
2503,642,20,47,100,20
2504,585,18,47,100,26
2505,568,19,34,100,22
2506,609,22,38,100,26
2507,612,20,49,100,25
2508,576,19,48,100,26
2509,584,20,36,100,22
2510,614,18,30,100,23
2511,588,23,49,100,21
2512,613,20,49,100,22
2513,572,21,48,100,28
2514,550,21,34,100,23
2515,567,18,33,100,20
2516,616,18,41,100,21
2517,632,20,38,100,27
2518,550,23,39,100,24
2519,590,23,41,100,27
2520,614,21,31,100,29
2521,625,20,44,100,25
2522,556,19,39,100,24
2523,586,19,41,100,20
2524,593,21,42,100,26
2525,591,19,36,100,29
2526,601,19,46,100,26
2527,594,23,43,100,26
2528,600,21,36,100,21
2529,625,23,44,100,24
2530,605,20,34,100,28
2531,551,23,30,100,20
2532,643,18,39,100,25
2533,553,23,33,100,24
2534,572,22,35,100,20
2535,573,20,34,100,20
2536,600,18,39,100,29
2537,648,20,34,100,25
2538,576,22,41,100,25
2539,572,18,33,100,24
2540,580,18,40,100,25
2541,615,18,30,100,21
2542,553,21,30,100,29
2543,642,20,31,100,25
2544,573,21,42,100,27
2545,605,18,46,100,20
2546,600,20,42,100,23
2547,565,21,45,100,25
2548,612,22,48,100,27
2549,563,19,34,100,26
2550,583,23,40,100,26
2551,622,22,33,100,20
2552,572,23,31,100,21
2553,633,19,31,100,28
2554,620,20,39,100,24
2555,550,18,36,100,22
2556,554,19,48,100,29
2557,647,23,43,100,22
2558,599,19,47,100,25
2559,613,23,43,100,29
2560,561,20,37,100,20
2561,625,21,32,100,28
2562,587,23,42,100,21
2563,632,18,46,100,21
2564,649,22,43,100,24
2565,597,21,31,100,21
2566,571,20,45,100,26
2567,610,23,47,100,22
2568,600,22,49,100,27
2569,622,21,39,100,26
2570,560,20,37,100,28
2571,608,19,34,100,23
2572,551,18,30,100,24
2573,610,22,34,100,27
2574,644,19,34,100,26
2575,562,20,40,100,26
2576,620,19,38,100,22
2577,649,19,37,100,21
2578,578,20,42,100,26
2579,643,20,49,100,22
2580,603,19,41,100,24
2581,603,21,33,100,21
2582,646,18,37,100,25
2583,633,21,44,100,26
2584,577,18,45,100,29
2585,638,21,46,100,28
2586,588,20,43,100,29
2587,607,23,44,100,20
2588,616,23,38,100,23
2589,629,21,38,100,24
2590,566,23,47,100,20
2591,589,18,39,100,26
2592,614,19,35,100,21
2593,611,18,48,100,26
2594,632,23,44,100,25
2595,617,22,49,100,26
2596,579,19,31,100,26
2597,603,19,44,100,25
2598,576,19,37,100,20
2599,627,19,33,100,21
2600,628,23,43,100,29
2601,593,23,41,100,22
2602,639,20,30,100,28
2603,556,18,47,100,22
2604,584,22,43,100,22
2605,609,22,36,100,20
2606,569,20,41,100,25
2607,613,23,45,100,25
2608,607,19,44,100,26
2609,588,20,44,100,28
2610,605,23,39,100,28
2611,551,20,48,100,24
2612,632,18,46,100,28
2613,648,20,38,100,24
2614,553,22,43,100,24
2615,616,18,47,100,22
2616,576,21,46,100,21
2617,577,22,34,100,20
2618,564,21,37,100,25
2619,620,23,38,100,24
2620,559,22,32,100,24
2621,561,22,38,100,29
2622,601,19,36,100,21
2623,644,20,49,100,24
2624,639,21,32,100,23
2625,579,18,30,100,22
2626,582,23,43,100,20
2627,614,21,34,100,26
2628,602,21,36,100,22
2629,587,19,47,100,24
2630,638,20,34,100,24
2631,581,21,47,100,27
2632,564,22,47,100,28
2633,614,18,47,100,25
2634,594,21,31,100,29
2635,567,22,39,100,26
2636,571,23,38,100,25
2637,616,22,45,100,22
2638,566,21,44,100,20
2639,626,19,35,100,26
2640,585,19,34,100,28
2641,606,23,46,100,29
2642,596,22,39,100,28
2643,581,23,44,100,27
2644,649,18,32,100,20
2645,587,23,38,100,20
2646,560,18,33,100,25
2647,587,20,41,100,26
2648,581,23,49,100,29
2649,588,20,30,100,23
2650,625,22,42,100,22
2651,633,20,41,100,28
2652,612,20,41,100,24
2653,574,22,47,100,20
2654,565,23,39,100,25
2655,631,18,48,100,21
2656,601,18,34,100,20
2657,644,22,35,100,29
2658,640,21,46,100,25
2659,626,18,44,100,27
2660,575,22,45,100,29
2661,634,20,47,100,27
2662,583,22,40,100,20
2663,551,21,48,100,26
2664,634,19,36,100,22
2665,572,22,41,100,23
2666,597,23,42,100,27
2667,579,18,44,100,26
2668,598,22,38,100,25
2669,608,21,44,100,29
2670,561,20,46,100,25
2671,589,23,44,100,25
2672,648,19,47,100,27
2673,621,18,44,100,22
2674,614,19,46,100,21
2675,594,18,40,100,23
2676,649,21,47,100,20
2677,582,22,42,100,29
2678,561,21,34,100,24
2679,645,21,36,100,22
2680,598,21,41,100,24
2681,573,23,41,100,29
2682,575,18,43,100,26
2683,636,23,49,100,20
2684,617,18,41,100,20
2685,636,19,31,100,24
2686,645,23,38,100,29
2687,616,19,43,100,23
2688,614,18,35,100,28
2689,623,21,33,100,25
2690,562,19,49,100,26
2691,559,23,47,100,26
2692,645,21,33,100,21
2693,556,19,40,100,25
2694,586,22,37,100,29
2695,636,20,32,100,20
2696,592,19,39,100,24
2697,610,21,37,100,29
2698,615,18,42,100,28
2699,605,19,37,100,23
2700,550,23,47,100,22
2701,640,21,41,100,23
2702,640,21,33,100,26
2703,574,19,45,100,28
2704,550,19,48,100,26
2705,639,23,37,100,24
2706,594,22,32,100,22
2707,608,21,32,100,26
2708,594,18,33,100,22
2709,573,20,41,100,24
2710,613,22,34,100,24
2711,553,22,40,100,24
2712,621,21,31,100,27
2713,646,21,32,100,21
2714,631,21,37,100,25
2715,625,18,36,100,21
2716,635,22,32,100,22
2717,569,19,35,100,22
2718,560,22,35,100,23
2719,601,21,30,100,27
2720,562,23,39,100,22
2721,587,21,40,100,22
2722,621,20,43,100,25
2723,637,21,30,100,27
2724,574,22,38,100,25
2725,590,20,40,100,25
2726,615,20,43,100,21
2727,587,23,39,100,22
2728,575,21,44,100,28
2729,614,18,38,100,24
2730,628,19,37,100,23
2731,570,21,39,100,22
2732,647,21,33,100,29
2733,609,21,38,100,28
2734,612,23,49,100,21
2735,582,18,32,100,21
2736,569,21,42,100,26
2737,613,19,42,100,20
2738,568,20,43,100,20
2739,570,20,40,100,28
2740,594,19,36,100,23
2741,599,18,40,100,27
2742,584,22,34,100,23
2743,585,20,49,100,22
2744,648,23,41,100,29
2745,632,19,42,100,24
2746,609,20,34,100,20
2747,550,20,49,100,20
2748,568,18,49,100,27
2749,635,20,44,100,28
2750,585,22,32,100,22
2751,623,18,33,100,25
2752,596,22,44,100,20
2753,552,18,46,100,23
2754,567,23,32,100,26
2755,578,19,43,100,26
2756,634,22,35,100,28
2757,600,23,45,100,20
2758,565,19,30,100,29
2759,632,22,41,100,23
2760,639,23,34,100,20
2761,553,22,34,100,28
2762,620,23,30,100,22
2763,649,19,45,100,21
2764,648,23,47,100,22
2765,593,23,30,100,26
2766,563,22,37,100,29
2767,645,20,32,100,26
2768,590,22,35,100,28
2769,639,18,42,100,27
2770,642,23,30,100,24
2771,561,21,31,100,26
2772,579,23,37,100,22
2773,567,22,39,100,23
2774,644,20,46,100,25
2775,563,18,33,100,21
2776,561,23,30,100,29
2777,586,18,31,100,25
2778,608,20,47,100,26
2779,598,19,33,100,24
2780,565,18,35,100,20
2781,563,22,46,100,26
2782,625,22,45,100,24
2783,628,21,30,100,28
2784,619,20,48,100,24
2785,571,22,42,100,28
2786,574,22,36,100,28
2787,621,18,33,100,24
2788,598,18,32,100,23
2789,561,21,47,100,24
2790,649,20,47,100,20
2791,592,20,49,100,23
2792,572,23,49,100,21
2793,567,18,33,100,21
2794,574,18,37,100,29
2795,603,23,46,100,23
2796,565,18,39,100,28
2797,638,20,47,100,21
2798,622,21,33,100,24
2799,572,18,30,100,21
2800,611,21,49,100,24
2801,596,19,43,100,21
2802,610,20,30,100,28
2803,628,23,44,100,25
2804,554,22,44,100,28
2805,577,20,30,100,26
2806,556,23,42,100,25
2807,551,22,30,100,22
2808,574,22,34,100,27
2809,573,23,47,100,27
2810,572,21,33,100,24
2811,623,21,37,100,22
2812,566,19,49,100,26
2813,592,21,36,100,25
2814,567,18,40,100,22
2815,608,18,41,100,24
2816,570,22,38,100,25
2817,638,18,32,100,24
2818,550,19,41,100,25
2819,638,20,43,100,27
2820,639,20,45,100,26
2821,559,21,47,100,20
2822,606,23,45,100,20
2823,571,23,41,100,29
2824,572,19,34,100,22
2825,569,21,35,100,29
2826,633,22,46,100,27
2827,576,19,36,100,21
2828,557,20,47,100,28
2829,598,22,41,100,22
2830,571,22,48,100,23
2831,636,20,46,100,27
2832,589,22,34,100,29
2833,562,18,35,100,24
2834,590,23,41,100,27
2835,623,20,38,100,25
2836,600,21,43,100,24
2837,551,19,49,100,25
2838,564,21,40,100,23
2839,593,22,42,100,20
2840,618,20,43,100,29
2841,589,21,33,100,20
2842,572,18,44,100,23
2843,606,22,35,100,28
2844,603,21,35,100,24
2845,580,23,42,100,26
2846,579,18,48,100,24
2847,647,23,38,100,21
2848,611,23,41,100,20
2849,606,21,40,100,29
2850,564,21,42,100,27
2851,580,20,36,100,22
2852,614,18,38,100,22
2853,641,23,43,100,21
2854,633,18,43,100,28
2855,559,20,49,100,29
2856,570,22,49,100,29
2857,626,19,34,100,27
2858,553,19,36,100,29
2859,583,23,46,100,20
2860,629,23,48,100,24
2861,643,22,41,100,20
2862,581,22,39,100,25
2863,557,23,46,100,20
2864,612,20,36,100,26
2865,613,20,39,100,21
2866,593,18,43,100,20
2867,628,19,33,100,28
2868,571,18,38,100,29
2869,558,19,31,100,26
2870,649,19,36,100,28
2871,626,20,32,100,21
2872,583,20,42,100,20
2873,621,20,43,100,26
2874,631,22,48,100,20
2875,577,23,39,100,20
2876,607,23,42,100,20
2877,580,20,41,100,29
2878,550,23,43,100,20
2879,635,23,43,100,21
2880,598,23,43,100,25
2881,603,20,48,100,20
2882,576,18,31,100,21
2883,586,22,49,100,20
2884,609,19,42,100,29
2885,598,23,49,100,21
2886,562,18,37,100,24
2887,620,21,47,100,20
2888,586,20,47,100,27
2889,586,20,39,100,22
2890,640,20,46,100,22
2891,642,20,31,100,26
2892,614,18,44,100,21
2893,621,22,36,100,20
2894,643,22,38,100,20
2895,555,19,44,100,25
2896,557,23,31,100,24
2897,625,22,45,100,28
2898,615,21,36,100,23
2899,561,18,48,100,20
2900,649,19,43,100,21
2901,583,20,43,100,26
2902,565,20,45,100,20
2903,606,22,34,100,20
2904,618,21,40,100,20
2905,620,22,48,100,26
2906,603,18,36,100,28
2907,644,21,42,100,20
2908,567,20,31,100,29
2909,553,19,43,100,25
2910,626,18,33,100,27
2911,565,21,35,100,25
2912,630,20,40,100,25
2913,608,18,41,100,24
2914,632,20,36,100,29
2915,574,21,38,100,23
2916,574,23,40,100,28
2917,565,20,32,100,21
2918,582,22,30,100,20
2919,559,19,30,100,20
2920,597,20,35,100,23
2921,599,18,39,100,21
2922,553,20,47,100,21
2923,560,23,46,100,26
2924,601,21,34,100,26
2925,591,20,42,100,26
2926,619,18,46,100,28
2927,642,22,44,100,20
2928,627,23,30,100,28
2929,628,21,30,100,22
2930,602,18,33,100,26
2931,566,23,43,100,25
2932,574,20,36,100,22
2933,574,23,41,100,23
2934,632,19,31,100,20
2935,618,22,31,100,22
2936,609,20,44,100,25
2937,633,22,38,100,21
2938,623,23,33,100,24
2939,633,22,40,100,24
2940,612,18,38,100,28
2941,589,20,48,100,21
2942,564,18,41,100,24
2943,569,18,49,100,25
2944,646,18,32,100,27
2945,569,21,37,100,25
2946,626,22,44,100,23
2947,612,21,31,100,24
2948,604,23,37,100,28
2949,606,19,48,100,21
2950,626,22,32,100,23
2951,591,22,36,100,29
2952,641,19,39,100,22
2953,647,21,39,100,20
2954,621,19,41,100,22
2955,564,19,33,100,26
2956,640,21,36,100,25
2957,649,18,30,100,28
2958,551,18,34,100,27
2959,590,21,44,100,23
2960,643,23,40,100,21
2961,554,20,47,100,22
2962,554,20,35,100,28
2963,615,22,34,100,26
2964,590,22,33,100,26
2965,568,21,37,100,29
2966,589,19,32,100,20
2967,624,18,45,100,28
2968,580,18,43,100,20
2969,564,18,34,100,21
2970,596,20,35,100,24
2971,594,22,47,100,26
2972,561,21,46,100,27
2973,604,23,49,100,20
2974,633,21,48,100,29
2975,609,21,43,100,29
2976,572,23,45,100,22
2977,634,19,33,100,29
2978,606,19,32,100,28
2979,635,19,40,100,29
2980,624,22,49,100,22
2981,632,18,35,100,26
2982,567,23,42,100,28
2983,585,23,31,100,23
2984,564,23,41,100,25
2985,607,19,44,100,25
2986,593,19,44,100,29
2987,606,18,31,100,29
2988,551,18,47,100,27
2989,621,21,35,100,29
2990,639,23,36,100,23
2991,573,22,30,100,23
2992,572,23,38,100,22
2993,585,20,42,100,26
2994,551,22,42,100,21
2995,559,19,43,100,28
2996,643,19,40,100,24
2997,563,18,32,100,22
2998,648,21,48,100,22
2999,631,18,40,100,21
3000,566,23,38,100,26
3001,589,23,36,100,22
3002,597,23,36,100,25
3003,612,22,37,100,22
3004,637,23,40,100,26
3005,645,22,43,100,22
3006,550,19,46,100,20
3007,634,20,49,100,25
3008,634,22,40,100,21
3009,552,23,37,100,22
3010,602,23,37,100,25
3011,619,19,48,100,28
3012,599,22,45,100,25
3013,631,22,30,100,24
3014,613,21,30,100,22
3015,620,21,31,100,26
3016,606,23,37,100,22
3017,628,20,40,100,28
3018,564,21,39,100,20
3019,616,20,31,100,25
3020,620,21,49,100,23
3021,625,22,34,100,28
3022,617,20,48,100,28
3023,622,21,48,100,20
3024,562,21,41,100,24
3025,635,20,39,100,25
3026,612,21,30,100,22
3027,613,21,35,100,20
3028,638,22,36,100,24
3029,610,21,35,100,29
3030,597,21,48,100,27
3031,552,21,37,100,24
3032,617,23,31,100,20
3033,553,19,45,100,23
3034,582,22,37,100,26
3035,637,18,47,100,26
3036,598,18,32,100,20
3037,647,22,46,100,27
3038,595,18,48,100,24
3039,557,18,47,100,28
3040,603,22,31,100,21
3041,589,20,31,100,28
3042,560,21,40,100,21
3043,622,18,30,100,24
3044,630,18,48,100,24
3045,610,23,48,100,24
3046,636,23,40,100,21
3047,603,18,40,100,25
3048,584,23,36,100,22
3049,582,21,35,100,20
3050,573,21,44,100,20
3051,553,19,32,100,28
3052,566,23,38,100,23
3053,631,22,47,100,20
3054,569,22,48,100,22
3055,617,22,34,100,28
3056,639,22,33,100,25
3057,593,23,38,100,26
3058,599,19,31,100,21
3059,604,23,33,100,28
3060,606,19,34,100,23
3061,558,21,49,100,27
3062,560,21,38,100,21
3063,554,18,44,100,25
3064,626,23,30,100,24
3065,588,23,43,100,29
3066,629,19,48,100,27
3067,602,22,44,100,21
3068,567,22,34,100,20
3069,551,21,46,100,22
3070,554,19,48,100,23
3071,646,23,39,100,29
3072,641,23,35,100,29
3073,615,23,42,100,27
3074,617,18,36,100,27
3075,603,19,44,100,21
3076,606,18,44,100,24
3077,613,22,35,100,25
3078,638,20,37,100,24
3079,609,20,47,100,22
3080,566,20,40,100,21
3081,566,18,41,100,20
3082,630,20,31,100,21
3083,639,20,37,100,28
3084,644,22,32,100,24
3085,582,20,44,100,28
3086,552,21,42,100,27
3087,585,18,30,100,28
3088,626,21,40,100,25
3089,635,18,33,100,24
3090,618,18,48,100,24
3091,629,18,38,100,28
3092,570,23,46,100,29
3093,584,21,32,100,22
3094,588,23,34,100,25
3095,649,21,43,100,20
3096,628,21,35,100,23
3097,582,23,47,100,24
3098,584,22,35,100,22
3099,585,23,49,100,26
3100,614,23,38,100,27
3101,570,21,38,100,24
3102,634,20,41,100,23
3103,631,23,43,100,24
3104,597,21,42,100,28
3105,640,22,36,100,22
3106,643,21,31,100,29
3107,631,18,33,100,21
3108,608,21,45,100,29
3109,608,19,33,100,26
3110,559,23,33,100,28
3111,631,18,32,100,26
3112,621,20,44,100,21
3113,561,21,43,100,21
3114,624,23,32,100,29
3115,601,20,45,100,28
3116,586,21,45,100,24
3117,643,20,33,100,28
3118,649,21,41,100,21
3119,574,22,31,100,26
3120,580,23,31,100,28
3121,622,21,38,100,21
3122,557,21,38,100,22
3123,592,21,36,100,21
3124,622,19,47,100,25
3125,584,19,33,100,20
3126,584,22,40,100,25
3127,601,18,49,100,25
3128,561,19,41,100,21
3129,649,20,40,100,21
3130,554,20,34,100,21
3131,636,20,43,100,23
3132,614,19,47,100,28
3133,609,19,46,100,23
3134,638,23,33,100,28
3135,569,23,32,100,29
3136,571,19,44,100,21
3137,637,20,33,100,25
3138,591,20,45,100,25
3139,607,22,30,100,28
3140,601,21,43,100,25
3141,628,20,46,100,28
3142,627,19,38,100,27
3143,625,21,46,100,29
3144,570,22,44,100,23
3145,639,20,34,100,26
3146,611,21,33,100,22
3147,592,22,41,100,28
3148,569,22,36,100,29
3149,580,20,36,100,21
3150,647,22,38,100,20
3151,589,21,40,100,22
3152,568,19,33,100,21
3153,583,19,44,100,26
3154,633,19,44,100,27
3155,618,21,33,100,20
3156,606,21,48,100,29
3157,617,23,47,100,29
3158,647,20,44,100,23
3159,560,20,36,100,20
3160,552,20,36,100,20
3161,618,22,31,100,25
3162,640,23,36,100,20
3163,620,21,49,100,29
3164,577,23,40,100,28
3165,596,21,40,100,22
3166,579,18,49,100,27
3167,634,22,37,100,28
3168,602,20,39,100,24
3169,626,18,43,100,23
3170,550,19,35,100,26
3171,603,22,34,100,20
3172,599,23,49,100,27
3173,584,21,35,100,20
3174,594,19,34,100,20
3175,638,23,46,100,21
3176,566,23,37,100,29
3177,610,18,35,100,26
3178,550,20,49,100,21
3179,553,18,37,100,22
3180,574,20,42,100,20
3181,590,20,30,100,21
3182,617,22,43,100,26
3183,616,20,38,100,20
3184,642,21,39,100,21
3185,552,19,30,100,28
3186,609,23,37,100,27
3187,613,23,41,100,24
3188,609,23,34,100,29
3189,613,19,32,100,20
3190,619,20,31,100,20
3191,569,18,31,100,29
3192,559,20,44,100,23
3193,641,22,41,100,21
3194,618,18,37,100,22
3195,648,21,49,100,25
3196,613,19,30,100,25
3197,597,22,34,100,23
3198,637,23,35,100,24
3199,620,22,37,100,29
3200,636,19,35,100,27
3201,633,19,46,100,20
3202,553,20,36,100,21
3203,553,21,36,100,28
3204,641,23,33,100,21
3205,623,21,40,100,21
3206,553,18,49,100,20
3207,646,19,36,100,28
3208,639,19,31,100,27
3209,571,19,37,100,26
3210,577,18,30,100,24
3211,555,19,40,100,23
3212,592,20,38,100,29
3213,598,22,37,100,22
3214,563,23,49,100,24
3215,555,23,42,100,26
3216,635,22,39,100,29
3217,644,20,33,100,26
3218,606,19,36,100,28
3219,638,19,48,100,21
3220,638,23,44,100,20
3221,608,19,37,100,27
3222,645,18,45,100,23
3223,581,20,42,100,25
3224,563,18,42,100,21
3225,565,20,39,100,27
3226,649,18,32,100,21
3227,635,20,43,100,27
3228,561,18,41,100,25
3229,625,22,42,100,26
3230,624,20,36,100,24
3231,595,22,45,100,20
3232,615,18,31,100,28
3233,562,19,41,100,20
3234,584,22,41,100,24
3235,633,21,41,100,28
3236,622,20,48,100,20
3237,571,22,41,100,26
3238,594,19,45,100,20
3239,550,22,39,100,24
3240,641,20,31,100,22
3241,598,19,43,100,22
3242,633,19,48,100,20
3243,602,19,45,100,26
3244,591,23,35,100,26
3245,576,19,45,100,29
3246,583,19,33,100,28
3247,550,23,32,100,26
3248,610,20,47,100,29
3249,622,22,40,100,24
3250,647,18,34,100,27
3251,594,22,44,100,22
3252,629,20,47,100,25
3253,586,18,45,100,26
3254,592,18,36,100,22
3255,613,22,49,100,21
3256,639,19,30,100,28
3257,649,18,45,100,23
3258,606,22,37,100,21
3259,561,18,43,100,21
3260,563,23,49,100,27
3261,551,20,44,100,20
3262,584,18,37,100,20
3263,646,23,47,100,25
3264,583,22,39,100,24
3265,639,19,46,100,25
3266,636,23,46,100,22
3267,615,22,35,100,29
3268,623,18,38,100,20
3269,632,22,32,100,25
3270,601,23,41,100,27
3271,601,18,45,100,26
3272,631,20,39,100,27
3273,573,21,34,100,24
3274,625,21,30,100,26
3275,637,23,49,100,25
3276,610,18,44,100,21
3277,597,18,33,100,25
3278,627,20,41,100,20
3279,587,20,44,100,26
3280,600,22,32,100,25
3281,579,18,30,100,20
3282,616,22,40,100,27
3283,597,18,35,100,27
3284,602,21,33,100,25
3285,560,21,34,100,20
3286,597,21,30,100,23
3287,596,19,33,100,29
3288,604,22,47,100,21
3289,602,23,32,100,25
3290,621,21,49,100,22
3291,617,19,33,100,23
3292,597,19,40,100,22
3293,598,20,40,100,20
3294,579,22,47,100,21
3295,578,21,31,100,27
3296,610,20,48,100,20
3297,563,22,32,100,27
3298,624,21,45,100,28
3299,649,22,41,100,20
3300,615,18,41,100,24
3301,619,23,45,100,25
3302,565,20,47,100,26
3303,627,23,43,100,20
3304,623,20,39,100,20
3305,643,22,31,100,20
3306,623,21,32,100,25
3307,632,20,35,100,21
3308,607,22,31,100,28
3309,563,20,43,100,26
3310,603,18,41,100,26
3311,590,20,48,100,26
3312,573,22,49,100,20
3313,598,21,38,100,23
3314,581,18,44,100,20
3315,580,20,48,100,24
3316,648,22,44,100,25
3317,636,20,41,100,29
3318,571,20,31,100,24
3319,613,19,49,100,23
3320,638,18,47,100,25
3321,633,21,40,100,21
3322,602,23,33,100,29
3323,630,21,39,100,29
3324,640,20,38,100,26
3325,577,22,44,100,25
3326,617,23,38,100,26
3327,573,18,43,100,23
3328,574,23,31,100,25
3329,611,20,40,100,21
3330,599,20,35,100,22
3331,612,23,48,100,20
3332,595,22,37,100,29
3333,646,22,38,100,20
3334,593,21,37,100,20
3335,602,23,38,100,26
3336,633,22,30,100,24
3337,557,21,49,100,29
3338,644,19,37,100,24
3339,568,22,48,100,21
3340,555,20,36,100,20
3341,577,23,48,100,24
3342,561,22,37,100,24
3343,649,21,35,100,22
3344,637,18,43,100,26
3345,573,23,49,100,25
3346,587,23,44,100,28
3347,575,20,31,100,29
3348,588,22,34,100,27
3349,649,21,41,100,28
3350,618,20,34,100,29
3351,631,22,48,100,26
3352,584,21,37,100,28
3353,597,19,49,100,29
3354,623,20,38,100,26
3355,555,21,32,100,24
3356,584,23,34,100,20
3357,605,20,35,100,23
3358,603,19,35,100,23
3359,573,18,44,100,25
3360,550,23,35,100,25
3361,597,20,46,100,20
3362,607,20,48,100,20
3363,564,20,31,100,29
3364,630,22,37,100,28
3365,575,20,49,100,20
3366,627,21,47,100,26
3367,565,22,38,100,23
3368,647,19,34,100,22
3369,630,21,47,100,26
3370,621,22,48,100,21
3371,639,20,45,100,25
3372,602,21,48,100,28
3373,615,18,30,100,22
3374,629,20,45,100,23
3375,580,23,47,100,26
3376,627,23,32,100,28
3377,578,18,33,100,23
3378,598,20,43,100,29
3379,599,20,35,100,22
3380,590,23,45,100,22
3381,598,19,33,100,22
3382,619,22,47,100,26
3383,599,19,30,100,24
3384,586,18,38,100,25
3385,577,19,38,100,29
3386,578,20,45,100,25
3387,627,21,37,100,21
3388,601,22,40,100,23
3389,561,20,32,100,28
3390,575,22,47,100,22
3391,586,21,33,100,23
