,Temperatura_horno [°C],Peso_total_fusion [T],Energia [kWh],Tiempo_total_fusion [h],Consumo_combustible [kWh]
2361,1574,33,7585,25,391
2362,1529,34,7689,42,397
2363,1508,32,7640,25,381
2364,1578,35,7690,41,393
2365,1521,33,7537,29,384
2366,1514,32,7676,30,395
2367,1541,35,7530,40,393
2368,1568,34,7546,39,395
2369,1565,34,7698,47,393
2370,1528,35,7685,42,385
2371,1592,35,7543,32,384
2372,1567,34,7520,43,380
2373,1582,32,7674,34,389
2374,1599,34,7621,46,395
2375,1567,35,7651,24,390
2376,1542,35,7694,42,390
2377,1505,35,7531,47,389
2378,1516,32,7694,26,382
2379,1588,33,7698,24,389
2380,1553,32,7567,34,396
2381,1585,35,7609,26,395
2382,1594,34,7641,27,393
2383,1503,33,7645,33,381
2384,1511,33,7680,31,394
2385,1579,32,7616,37,390
2386,1520,33,7635,43,393
2387,1584,33,7698,34,392
2388,1546,34,7666,28,390
2389,1580,33,7653,32,395
2390,1559,35,7553,35,398
2391,1513,34,7690,32,399
2392,1500,32,7653,29,398
2393,1577,34,7601,35,380
2394,1558,32,7583,32,382
2395,1594,33,7582,42,380
2396,1500,35,7651,30,386
2397,1597,35,7506,39,396
2398,1510,34,7692,43,387
2399,1536,35,7679,24,396
2400,1526,34,7517,37,390
2401,1542,32,7556,30,385
2402,1565,35,7638,46,387
2403,1501,34,7513,28,399
2404,1555,33,7670,44,386
2405,1592,33,7530,46,398
2406,1572,35,7607,45,380
2407,1574,34,7622,41,383
2408,1547,33,7550,41,396
2409,1505,32,7583,25,391
2410,1515,34,7534,45,380
2411,1507,33,7655,45,392
2412,1582,34,7526,30,387
2413,1580,34,7584,35,380
2414,1507,34,7573,47,392
2415,1540,32,7516,43,387
2416,1582,33,7635,29,392
2417,1542,32,7600,28,382
2418,1523,33,7518,40,394
2419,1510,33,7658,30,386
2420,1563,32,7630,45,398
2421,1543,32,7523,41,386
2422,1578,33,7638,42,382
2423,1585,33,7550,39,397
2424,1524,35,7560,33,391
2425,1552,32,7511,36,398
2426,1588,34,7500,34,397
2427,1575,35,7669,41,391
2428,1542,34,7528,43,380
2429,1577,35,7661,47,395
2430,1523,34,7614,35,380
2431,1583,32,7605,24,391
2432,1507,35,7511,40,387
2433,1570,35,7591,47,397
2434,1525,34,7656,47,389
2435,1546,33,7596,36,382
2436,1597,32,7681,35,394
2437,1528,33,7680,28,397
2438,1501,33,7526,40,397
2439,1540,35,7516,45,395
2440,1522,34,7564,29,397
2441,1545,34,7535,28,389
2442,1556,35,7558,29,391
2443,1552,32,7577,43,382
2444,1577,33,7682,31,393
2445,1567,34,7551,34,392
2446,1559,33,7655,32,391
2447,1576,32,7617,47,390
2448,1598,35,7516,34,388
2449,1561,35,7581,46,392
2450,1532,32,7643,29,382
2451,1589,34,7674,38,381
2452,1545,34,7557,38,392
2453,1548,33,7624,32,397
2454,1583,33,7661,24,399
2455,1596,35,7523,47,383
2456,1563,35,7557,47,382
2457,1574,35,7629,26,390
2458,1528,35,7508,35,397
2459,1562,33,7535,30,395
2460,1528,32,7607,34,382
2461,1593,32,7566,24,396
2462,1514,32,7585,28,394
2463,1532,33,7531,37,395
2464,1570,33,7504,31,389
2465,1529,35,7554,30,399
2466,1558,34,7590,37,395
2467,1593,33,7527,35,385
2468,1557,33,7558,40,399
2469,1570,32,7570,31,399
2470,1501,32,7620,30,385
2471,1560,32,7636,26,399
2472,1539,34,7571,47,382
2473,1539,33,7522,42,384
2474,1584,35,7539,43,386
2475,1538,33,7532,42,393
2476,1502,35,7537,39,392
2477,1574,32,7689,43,388
2478,1506,33,7554,24,396
2479,1580,32,7647,34,398
2480,1537,33,7661,29,380
2481,1531,35,7595,42,381
2482,1568,33,7643,31,396
2483,1515,34,7603,35,383
2484,1556,32,7699,44,380
2485,1509,34,7558,44,399
2486,1528,32,7678,44,383
2487,1512,34,7607,25,384
2488,1566,34,7635,35,384
2489,1564,33,7538,31,389
2490,1551,33,7679,24,383
2491,1538,35,7590,31,388
2492,1547,34,7504,46,387
2493,1520,32,7594,32,383
2494,1554,32,7628,43,386
2495,1576,34,7508,45,387
2496,1501,32,7559,35,389
2497,1596,32,7631,46,390
2498,1509,34,7615,42,394
2499,1558,35,7588,46,390
2500,1512,32,7636,37,389
2501,1574,35,7680,29,384
2502,1518,34,7560,43,399
2503,1514,33,7668,40,384
2504,1569,34,7570,40,396
2505,1521,35,7551,35,385
2506,1523,33,7680,33,387
2507,1597,33,7615,34,380
2508,1505,34,7670,31,392
2509,1518,32,7606,47,391
2510,1554,33,7554,26,393
2511,1542,35,7591,26,388
2512,1520,32,7547,25,398
2513,1518,34,7681,28,397
2514,1545,35,7679,29,398
2515,1524,33,7527,32,386
2516,1516,35,7616,29,386
2517,1590,34,7504,44,392
2518,1585,32,7657,38,388
2519,1540,35,7618,24,389
2520,1566,33,7646,30,394
2521,1514,35,7534,44,391
2522,1501,33,7546,47,387
2523,1501,34,7644,28,393
2524,1534,34,7626,37,393
2525,1533,34,7662,46,391
2526,1519,33,7670,42,387
2527,1588,32,7557,44,386
2528,1540,35,7576,38,397
2529,1533,33,7662,35,391
2530,1558,32,7616,41,394
2531,1595,33,7538,29,390
2532,1531,34,7585,47,381
2533,1573,35,7574,33,386
2534,1571,32,7529,35,386
2535,1522,33,7614,36,390
2536,1533,34,7595,46,382
2537,1563,32,7673,43,398
2538,1527,32,7641,43,396
2539,1524,35,7652,29,390
2540,1544,34,7579,27,397
2541,1513,33,7559,26,395
2542,1547,34,7668,47,380
2543,1563,34,7699,33,391
2544,1568,34,7583,35,394
2545,1519,35,7614,45,382
2546,1512,35,7527,28,381
2547,1578,32,7682,46,389
2548,1507,33,7544,39,387
2549,1508,32,7547,36,385
2550,1511,34,7510,42,398
2551,1587,34,7587,27,387
2552,1581,32,7540,44,395
2553,1535,33,7618,45,384
2554,1534,34,7659,41,389
2555,1515,34,7513,44,386
2556,1592,32,7632,44,381
2557,1532,32,7690,34,383
2558,1504,34,7654,28,397
2559,1505,33,7513,32,398
2560,1569,34,7649,39,385
2561,1505,34,7589,31,394
2562,1531,35,7507,45,396
2563,1523,33,7620,34,387
2564,1516,33,7517,38,388
2565,1532,32,7527,47,396
2566,1571,34,7560,39,381
2567,1504,32,7500,33,385
2568,1580,34,7521,41,389
2569,1539,33,7536,37,384
2570,1505,33,7549,41,394
2571,1530,33,7530,28,382
2572,1577,33,7646,44,383
2573,1585,32,7649,25,399
2574,1532,32,7641,25,385
2575,1577,34,7696,47,398
2576,1564,33,7612,46,399
2577,1530,33,7634,32,389
2578,1571,34,7682,25,386
2579,1596,33,7675,24,396
2580,1528,33,7501,32,392
2581,1557,32,7608,26,383
2582,1537,33,7682,24,380
2583,1512,33,7615,25,387
2584,1523,33,7541,47,380
2585,1598,35,7568,42,386
2586,1561,35,7696,33,390
2587,1548,34,7610,40,389
2588,1532,33,7539,27,392
2589,1515,33,7561,32,396
2590,1527,33,7584,42,382
2591,1563,35,7671,37,384
2592,1550,32,7595,46,395
2593,1560,35,7649,26,383
2594,1571,32,7556,35,396
2595,1534,35,7565,24,386
2596,1576,34,7590,31,382
2597,1548,34,7693,33,385
2598,1530,34,7626,41,389
2599,1590,33,7602,40,387
2600,1505,34,7525,28,389
2601,1525,33,7613,39,391
2602,1505,35,7633,43,392
2603,1544,33,7594,42,384
2604,1588,35,7698,26,398
2605,1581,35,7563,42,395
2606,1534,33,7574,28,398
2607,1578,35,7603,46,389
2608,1523,35,7609,38,386
2609,1517,34,7503,47,393
2610,1547,33,7595,37,383
2611,1526,35,7567,40,391
2612,1593,32,7588,42,382
2613,1576,32,7678,26,391
2614,1535,35,7570,37,388
2615,1583,33,7534,47,390
2616,1597,35,7637,33,386
2617,1505,32,7648,45,397
2618,1592,34,7633,37,382
2619,1596,35,7509,29,396
2620,1547,33,7677,29,382
2621,1514,32,7554,32,392
2622,1513,34,7503,33,382
2623,1582,35,7585,44,395
2624,1549,33,7663,47,389
2625,1504,32,7524,35,391
2626,1515,34,7696,43,391
2627,1573,35,7652,42,385
2628,1594,35,7541,45,386
2629,1565,34,7519,26,398
2630,1593,34,7631,40,383
2631,1507,34,7532,46,382
2632,1588,34,7646,39,395
2633,1532,32,7644,26,384
2634,1542,32,7650,26,383
2635,1500,35,7671,34,392
2636,1556,32,7580,46,386
2637,1597,34,7595,41,399
2638,1542,32,7518,41,385
2639,1572,34,7543,41,396
2640,1557,34,7692,42,383
2641,1533,34,7695,41,394
2642,1512,33,7615,43,394
2643,1516,35,7617,34,397
2644,1545,35,7581,34,398
2645,1542,33,7621,27,394
2646,1534,32,7629,47,392
2647,1548,34,7593,43,385
2648,1599,32,7624,24,380
2649,1504,32,7643,37,388
2650,1503,32,7683,44,382
2651,1516,32,7599,26,381
2652,1594,32,7689,29,381
2653,1511,33,7577,34,389
2654,1568,34,7678,37,398
2655,1571,34,7520,25,387
2656,1518,33,7637,41,393
2657,1525,32,7623,44,389
2658,1560,33,7538,42,382
2659,1556,33,7661,40,380
2660,1537,35,7516,26,386
2661,1525,33,7602,29,386
2662,1561,32,7590,30,390
2663,1591,35,7686,34,399
2664,1524,35,7503,44,395
2665,1595,35,7518,39,380
2666,1507,35,7601,44,394
2667,1576,32,7630,38,386
2668,1545,33,7547,26,385
2669,1504,32,7536,37,386
2670,1516,34,7603,40,389
2671,1527,35,7542,24,381
2672,1556,33,7693,29,389
2673,1522,34,7533,30,392
2674,1556,34,7603,29,386
2675,1596,33,7653,30,384
2676,1514,34,7672,44,385
2677,1598,34,7583,41,382
2678,1578,33,7644,29,382
2679,1597,34,7645,27,394
2680,1561,35,7676,26,399
2681,1577,33,7528,26,396
2682,1526,35,7655,26,398
2683,1595,34,7684,43,398
2684,1538,34,7500,27,384
2685,1543,33,7621,26,384
2686,1512,34,7668,28,388
2687,1538,34,7575,47,393
2688,1521,32,7539,33,391
2689,1571,33,7534,35,394
2690,1509,32,7577,31,399
2691,1544,32,7661,32,384
2692,1593,33,7591,38,398
2693,1552,35,7615,43,392
2694,1588,33,7661,44,398
2695,1594,32,7601,35,393
2696,1519,34,7636,46,395
2697,1532,33,7555,38,395
2698,1555,35,7651,27,397
2699,1599,32,7694,32,384
2700,1503,34,7656,43,391
2701,1535,33,7584,47,390
2702,1596,34,7643,41,398
2703,1579,32,7652,47,399
2704,1581,33,7556,27,394
2705,1571,32,7526,34,390
2706,1577,33,7523,28,397
2707,1551,35,7537,35,387
2708,1539,32,7634,46,388
2709,1508,33,7660,25,385
2710,1542,34,7641,37,385
2711,1532,33,7528,45,384
2712,1562,35,7535,24,388
2713,1571,34,7579,37,388
2714,1531,35,7675,39,395
2715,1572,34,7576,38,393
2716,1571,33,7664,24,398
2717,1571,33,7576,31,380
2718,1587,32,7540,32,387
2719,1506,35,7615,25,396
2720,1573,33,7655,47,380
2721,1551,33,7542,29,399
2722,1599,35,7503,25,380
2723,1508,35,7590,31,381
2724,1511,32,7504,40,382
2725,1539,34,7597,44,390
2726,1505,32,7597,32,390
2727,1526,33,7577,37,396
2728,1543,34,7502,41,390
2729,1525,33,7593,26,384
2730,1525,32,7595,33,381
2731,1561,33,7528,43,380
2732,1516,33,7656,38,394
2733,1518,35,7699,38,394
2734,1544,34,7518,28,380
2735,1543,33,7658,47,395
2736,1531,35,7593,42,390
2737,1512,35,7656,41,390
2738,1585,35,7626,28,380
2739,1521,32,7689,36,390
2740,1593,34,7583,27,392
2741,1508,32,7584,34,389
2742,1521,34,7518,35,391
2743,1578,32,7540,41,392
2744,1515,34,7507,39,382
2745,1535,33,7621,37,394
2746,1545,32,7603,34,395
2747,1593,34,7618,47,392
2748,1567,34,7648,25,395
2749,1570,34,7613,39,380
2750,1528,33,7674,35,391
2751,1554,35,7673,34,393
2752,1526,34,7663,37,382
2753,1580,35,7510,38,384
2754,1531,33,7634,39,388
2755,1505,32,7553,35,391
2756,1596,33,7528,28,397
2757,1543,34,7653,44,382
2758,1501,34,7634,34,397
2759,1565,33,7564,31,392
2760,1522,35,7669,32,390
2761,1500,32,7635,37,383
2762,1598,33,7504,27,382
2763,1588,33,7519,41,390
2764,1518,33,7587,29,395
2765,1586,32,7683,45,397
2766,1597,32,7697,25,390
2767,1554,32,7548,39,393
2768,1565,35,7688,38,392
2769,1511,35,7543,29,381
2770,1518,35,7551,43,385
2771,1518,33,7610,47,396
2772,1587,33,7601,47,382
2773,1578,32,7674,34,392
2774,1563,32,7689,28,381
2775,1531,33,7592,38,396
2776,1521,35,7657,47,384
2777,1585,34,7632,24,385
2778,1586,33,7648,37,386
2779,1540,33,7593,27,383
2780,1510,32,7554,47,395
2781,1584,32,7605,38,384
2782,1550,35,7612,25,397
2783,1544,33,7577,36,392
2784,1517,33,7553,26,385
2785,1541,34,7645,33,394
2786,1557,35,7651,24,394
2787,1564,34,7564,34,382
2788,1536,33,7519,41,396
2789,1598,34,7593,45,382
2790,1550,32,7696,47,381
2791,1576,34,7640,36,387
2792,1550,33,7524,41,396
2793,1531,33,7659,38,398
2794,1599,35,7635,28,395
2795,1537,33,7582,41,388
2796,1515,33,7599,32,389
2797,1569,34,7542,39,399
2798,1544,32,7501,46,382
2799,1590,35,7619,28,392
2800,1517,33,7595,26,381
2801,1502,32,7546,34,394
2802,1573,33,7587,46,396
2803,1507,32,7639,25,393
2804,1562,32,7685,40,386
2805,1523,33,7585,26,390
2806,1578,34,7620,30,386
2807,1575,32,7538,27,386
2808,1567,32,7647,37,387
2809,1518,34,7573,30,399
2810,1581,35,7635,35,392
2811,1526,33,7566,36,383
2812,1574,34,7594,41,396
2813,1599,33,7610,45,393
2814,1575,32,7654,39,381
2815,1521,32,7638,46,381
2816,1534,34,7554,37,390
2817,1598,33,7698,47,381
2818,1504,32,7636,42,384
2819,1574,32,7611,37,383
2820,1581,33,7621,36,394
2821,1570,32,7519,41,398
2822,1533,33,7579,38,392
2823,1588,33,7567,29,391
2824,1593,32,7562,37,395
2825,1566,32,7537,36,390
2826,1557,34,7618,35,396
2827,1535,35,7653,29,395
2828,1587,35,7673,26,382
2829,1571,33,7660,30,383
2830,1530,32,7548,24,380
2831,1540,32,7689,47,384
2832,1586,35,7544,46,398
2833,1590,35,7691,31,397
2834,1523,35,7626,42,386
2835,1579,33,7609,44,384
2836,1512,35,7591,36,395
2837,1569,34,7604,31,395
2838,1540,34,7538,36,383
2839,1500,34,7653,38,385
2840,1586,34,7500,46,393
2841,1550,34,7567,45,382
2842,1586,35,7523,44,381
2843,1561,35,7540,37,386
2844,1548,33,7549,41,389
2845,1560,35,7529,46,381
2846,1516,34,7692,34,388
2847,1521,32,7627,46,380
2848,1599,32,7530,33,381
2849,1578,33,7606,33,392
2850,1524,34,7691,47,398
2851,1529,32,7594,40,389
2852,1569,34,7580,44,384
2853,1522,35,7601,27,392
2854,1503,35,7689,38,384
2855,1510,32,7666,32,391
2856,1536,35,7619,40,390
2857,1549,33,7664,45,391
2858,1574,35,7660,32,388
2859,1501,35,7605,33,382
2860,1542,35,7526,46,396
2861,1538,34,7635,42,391
2862,1565,33,7574,39,387
2863,1587,32,7642,28,381
2864,1537,32,7686,33,380
2865,1505,33,7665,30,383
2866,1594,33,7685,31,396
2867,1575,33,7544,39,398
2868,1517,33,7529,27,398
2869,1552,35,7631,24,391
2870,1578,32,7516,26,396
2871,1593,34,7677,26,399
2872,1530,33,7616,32,383
2873,1577,34,7520,43,392
2874,1548,32,7685,25,391
2875,1526,35,7600,40,385
2876,1542,35,7516,43,394
2877,1598,33,7501,37,395
2878,1585,32,7603,40,393
2879,1527,33,7630,28,388
2880,1529,32,7603,46,380
2881,1573,35,7551,40,391
2882,1571,35,7506,31,399
2883,1551,34,7686,29,388
2884,1528,35,7506,41,399
2885,1585,35,7603,31,388
2886,1557,32,7694,44,394
2887,1542,33,7530,39,390
2888,1573,34,7614,29,388
2889,1520,35,7627,27,382
2890,1568,35,7610,28,391
2891,1568,33,7655,26,395
2892,1564,35,7673,28,381
2893,1576,34,7501,45,390
2894,1564,33,7625,33,390
2895,1544,32,7577,40,393
2896,1520,32,7553,47,395
2897,1509,35,7666,36,398
2898,1537,34,7657,47,393
2899,1504,32,7638,43,382
2900,1527,34,7506,32,383
2901,1587,32,7604,27,385
2902,1580,33,7542,30,389
2903,1552,33,7518,44,396
2904,1514,33,7561,32,397
2905,1582,33,7538,41,396
2906,1551,35,7533,42,393
2907,1572,35,7587,33,387
2908,1571,32,7678,38,384
2909,1594,35,7664,39,399
2910,1598,33,7621,43,394
2911,1503,32,7521,39,383
2912,1588,34,7507,33,382
2913,1519,35,7657,34,388
2914,1550,32,7524,38,392
2915,1518,32,7595,37,391
2916,1501,35,7651,38,397
2917,1581,35,7655,37,391
2918,1508,35,7501,44,397
2919,1531,35,7639,28,397
2920,1548,34,7549,28,386
2921,1594,33,7553,36,385
2922,1500,33,7588,30,395
2923,1545,32,7680,34,388
2924,1518,35,7515,42,391
2925,1568,34,7613,25,387
2926,1511,35,7533,24,380
2927,1554,32,7564,32,386
2928,1554,34,7579,44,388
2929,1507,33,7646,29,398
2930,1521,33,7574,35,385
2931,1588,33,7617,30,390
2932,1538,34,7575,42,398
2933,1583,33,7601,33,384
2934,1579,33,7627,46,393
2935,1558,35,7640,33,386
2936,1545,32,7592,33,394
2937,1559,35,7538,36,386
2938,1516,32,7590,24,399
2939,1532,32,7599,36,380
2940,1546,34,7507,28,392
2941,1570,33,7603,38,384
2942,1542,34,7623,45,393
2943,1520,34,7569,43,387
2944,1578,33,7597,34,390
2945,1506,35,7668,41,387
2946,1567,32,7692,35,394
2947,1599,33,7661,46,395
2948,1599,33,7591,29,381
2949,1559,34,7501,31,388
2950,1565,33,7668,27,381
2951,1547,35,7686,34,385
2952,1546,33,7562,32,392
2953,1599,33,7567,33,393
2954,1517,33,7688,35,390
2955,1510,33,7598,38,395
2956,1533,33,7600,31,398
2957,1589,33,7620,26,392
2958,1511,33,7638,42,399
2959,1589,32,7671,41,383
2960,1502,34,7684,41,380
2961,1576,34,7550,39,383
2962,1521,35,7675,36,394
2963,1526,35,7549,40,389
2964,1508,34,7642,47,399
2965,1583,33,7545,45,391
2966,1555,34,7695,37,397
2967,1500,32,7607,43,382
2968,1532,33,7558,43,390
2969,1505,33,7501,36,385
2970,1549,35,7554,34,380
2971,1587,33,7519,24,393
2972,1535,33,7501,43,380
2973,1539,35,7522,27,380
2974,1502,34,7564,29,383
2975,1520,33,7594,28,381
2976,1563,33,7552,34,398
2977,1580,32,7509,46,384
2978,1559,32,7523,37,382
2979,1574,35,7536,32,393
2980,1556,34,7690,27,380
2981,1597,32,7595,38,388
2982,1534,35,7521,28,395
2983,1554,35,7628,47,382
2984,1537,34,7511,45,398
2985,1561,32,7506,43,387
2986,1523,35,7621,37,397
2987,1544,33,7600,30,394
2988,1523,32,7624,40,388
2989,1563,32,7516,31,383
2990,1519,34,7510,32,388
2991,1596,34,7613,39,384
2992,1599,33,7654,26,390
2993,1594,34,7607,42,386
2994,1571,35,7685,41,393
2995,1577,35,7628,44,390
2996,1556,35,7665,24,391
2997,1550,33,7618,38,392
2998,1555,35,7600,47,396
2999,1560,34,7577,26,383
3000,1548,34,7663,26,393
3001,1585,35,7661,33,399
3002,1527,33,7696,47,388
3003,1512,32,7512,40,390
3004,1562,33,7537,38,393
3005,1523,32,7503,44,388
3006,1500,35,7689,38,385
3007,1526,34,7643,25,391
3008,1521,34,7534,44,397
3009,1541,35,7647,44,381
3010,1532,35,7562,26,396
3011,1547,32,7635,45,388
3012,1585,34,7555,41,381
3013,1538,35,7551,25,383
3014,1569,32,7517,46,394
3015,1527,34,7692,44,385
3016,1503,33,7565,27,385
3017,1579,33,7587,41,397
3018,1522,34,7503,37,383
3019,1572,32,7692,31,389
3020,1595,32,7514,38,382
3021,1519,35,7515,29,382
3022,1504,32,7513,31,385
3023,1559,32,7586,42,393
3024,1598,33,7564,25,389
3025,1545,32,7599,43,392
3026,1568,32,7611,36,398
3027,1523,32,7592,36,381
3028,1514,33,7642,28,380
3029,1516,34,7668,35,381
3030,1500,35,7694,29,389
3031,1521,35,7623,40,397
3032,1531,33,7561,45,398
3033,1518,35,7612,26,398
3034,1551,32,7671,43,391
3035,1586,34,7579,35,399
3036,1509,35,7685,47,383
3037,1515,35,7518,42,390
3038,1585,35,7626,35,381
3039,1594,34,7629,29,387
3040,1584,32,7676,38,382
3041,1514,34,7556,47,395
3042,1509,33,7556,24,384
3043,1527,35,7653,28,390
3044,1518,32,7620,47,382
3045,1544,34,7690,28,396
3046,1561,33,7598,40,398
3047,1574,35,7665,38,395
3048,1513,32,7556,35,385
3049,1576,32,7597,38,393
3050,1582,35,7629,29,382
3051,1582,34,7578,25,390
3052,1569,32,7648,25,385
3053,1561,33,7692,38,389
3054,1589,35,7634,47,389
3055,1509,35,7624,38,381
3056,1536,32,7503,26,390
3057,1568,34,7651,44,387
3058,1531,32,7629,30,382
3059,1526,33,7520,25,393
3060,1583,34,7535,42,384
3061,1569,33,7663,31,382
3062,1508,33,7601,34,382
3063,1503,34,7650,31,381
3064,1540,33,7691,41,388
3065,1578,32,7556,45,393
3066,1537,32,7575,39,397
3067,1514,33,7638,34,388
3068,1529,33,7556,40,390
3069,1593,34,7583,46,392
3070,1529,32,7609,34,395
3071,1525,34,7538,26,396
3072,1505,34,7504,47,380
3073,1528,32,7672,37,395
3074,1549,34,7675,29,385
3075,1595,33,7606,35,398
3076,1532,34,7621,45,381
3077,1578,34,7639,43,388
3078,1573,35,7678,45,393
3079,1590,34,7595,42,399
3080,1567,35,7592,25,391
3081,1571,35,7541,46,392
3082,1509,32,7503,46,382
3083,1501,34,7607,46,385
3084,1581,33,7532,44,397
3085,1523,33,7633,38,389
3086,1599,34,7693,33,391
3087,1558,34,7515,41,394
3088,1565,33,7504,30,382
3089,1593,35,7675,47,394
3090,1591,33,7661,31,396
3091,1543,35,7614,43,394
3092,1515,34,7697,41,397
3093,1573,33,7680,39,389
3094,1526,35,7588,41,386
3095,1593,32,7503,35,399
3096,1572,33,7592,29,392
3097,1505,35,7538,43,393
3098,1520,34,7651,33,392
3099,1512,32,7539,32,395
3100,1525,33,7622,39,387
3101,1551,33,7551,33,398
3102,1529,33,7644,27,382
3103,1550,35,7517,42,381
3104,1520,32,7584,32,385
3105,1541,35,7557,46,391
3106,1553,32,7655,39,391
3107,1518,35,7515,32,393
3108,1578,34,7684,34,386
3109,1587,34,7609,32,394
3110,1578,33,7629,27,390
3111,1516,34,7626,37,390
3112,1572,33,7615,26,393
3113,1591,34,7582,24,395
3114,1568,33,7585,35,394
3115,1529,34,7629,42,393
3116,1509,35,7617,25,398
3117,1519,35,7508,32,388
3118,1582,33,7522,25,395
3119,1520,33,7611,32,385
3120,1552,33,7636,37,390
3121,1552,34,7525,47,388
3122,1575,34,7686,34,393
3123,1542,34,7608,38,389
3124,1544,32,7622,43,385
3125,1551,32,7662,26,394
3126,1517,35,7528,29,393
3127,1581,33,7696,42,390
3128,1590,32,7606,43,392
3129,1594,35,7585,47,389
3130,1590,33,7690,35,388
3131,1532,33,7678,31,397
3132,1582,33,7653,45,393
3133,1537,32,7616,46,396
3134,1548,34,7564,34,386
3135,1530,34,7568,45,394
3136,1539,33,7614,45,392
3137,1505,33,7653,46,383
3138,1532,33,7590,24,390
3139,1579,35,7559,32,393
3140,1508,33,7523,41,387
3141,1574,34,7594,45,387
3142,1593,34,7567,26,382
3143,1542,34,7547,40,396
3144,1513,34,7617,25,397
3145,1518,35,7598,27,389
3146,1585,32,7531,47,396
3147,1511,33,7573,41,393
3148,1510,33,7521,41,397
3149,1557,35,7677,27,386
3150,1572,35,7689,26,392
3151,1531,32,7561,46,395
3152,1547,33,7594,34,398
3153,1514,35,7670,25,387
3154,1525,35,7578,33,383
3155,1552,35,7641,46,393
3156,1529,34,7564,42,385
3157,1520,35,7585,27,399
3158,1523,33,7636,46,392
3159,1573,32,7597,34,384
3160,1502,33,7611,25,388
3161,1571,33,7675,45,381
3162,1508,34,7694,24,394
3163,1528,33,7653,45,397
3164,1507,35,7552,37,386
3165,1553,33,7594,33,399
3166,1575,35,7501,29,381
3167,1584,35,7617,47,395
3168,1549,35,7648,34,398
3169,1555,33,7537,32,398
3170,1505,34,7675,27,392
3171,1525,35,7548,34,394
3172,1545,33,7503,40,391
3173,1516,33,7509,47,381
3174,1536,35,7540,30,383
3175,1537,32,7534,43,399
3176,1584,32,7687,37,389
3177,1573,32,7675,45,392
3178,1516,32,7619,29,392
3179,1567,35,7661,30,399
3180,1597,32,7552,35,381
3181,1525,34,7628,26,394
3182,1515,32,7698,43,390
3183,1586,35,7551,25,394
3184,1544,33,7633,36,392
3185,1528,35,7508,33,394
3186,1538,34,7537,44,387
3187,1564,32,7553,25,387
3188,1547,35,7583,44,382
3189,1535,32,7547,32,381
3190,1544,32,7539,32,382
3191,1576,35,7533,32,393
3192,1599,35,7692,25,386
3193,1546,32,7608,32,391
3194,1568,35,7627,45,382
3195,1594,34,7627,47,388
3196,1595,35,7624,24,385
3197,1545,33,7539,42,392
3198,1570,35,7683,46,388
3199,1549,34,7596,36,390
3200,1533,34,7533,46,392
3201,1591,34,7526,37,394
3202,1530,34,7570,25,388
3203,1542,35,7651,26,394
3204,1532,33,7667,29,394
3205,1517,32,7515,27,383
3206,1525,35,7618,28,381
3207,1592,35,7555,34,388
3208,1500,33,7515,27,390
3209,1577,32,7538,27,392
3210,1519,33,7536,33,397
3211,1514,32,7627,37,385
3212,1534,34,7641,24,386
3213,1593,33,7512,38,394
3214,1546,34,7541,45,381
3215,1596,34,7575,29,394
3216,1556,33,7603,36,382
3217,1546,33,7531,32,391
3218,1587,35,7610,27,395
3219,1593,34,7563,45,399
3220,1530,33,7672,40,380
3221,1562,34,7589,42,385
3222,1501,32,7553,37,383
3223,1584,33,7669,45,389
3224,1506,33,7656,26,393
3225,1543,35,7559,33,392
3226,1502,35,7643,39,393
3227,1554,33,7698,35,398
3228,1551,35,7674,31,381
3229,1524,32,7641,37,381
3230,1556,34,7633,35,387
3231,1572,35,7638,30,391
3232,1596,33,7604,25,394
3233,1597,34,7632,32,382
3234,1561,35,7643,45,382
3235,1511,35,7564,47,381
3236,1544,32,7668,43,390
3237,1512,35,7687,31,397
3238,1550,34,7615,43,396
3239,1504,35,7666,29,397
3240,1526,32,7558,33,394
3241,1524,32,7619,30,396
3242,1562,34,7627,46,397
3243,1541,33,7526,25,399
3244,1555,34,7682,46,385
3245,1532,32,7556,36,382
3246,1595,32,7663,30,384
3247,1581,34,7542,32,396
3248,1571,34,7681,39,382
3249,1585,32,7617,47,398
3250,1584,32,7567,26,392
3251,1591,34,7671,25,396
3252,1558,35,7649,35,381
3253,1507,34,7615,25,396
3254,1572,34,7504,27,380
3255,1580,32,7617,26,381
3256,1577,33,7694,43,391
3257,1537,35,7551,35,395
3258,1571,34,7622,45,384
3259,1539,35,7665,34,389
3260,1573,32,7600,26,390
3261,1544,34,7602,45,391
3262,1560,34,7628,46,398
3263,1570,34,7555,43,387
3264,1532,32,7622,33,394
3265,1533,35,7668,42,390
3266,1519,32,7640,32,380
3267,1528,33,7648,34,382
3268,1520,34,7568,28,380
3269,1544,34,7638,47,387
3270,1562,32,7693,34,395
3271,1550,35,7674,42,391
3272,1548,35,7626,28,388
3273,1569,32,7578,29,381
3274,1567,33,7586,36,399
3275,1518,32,7658,33,396
3276,1542,32,7593,37,397
3277,1518,34,7538,40,385
3278,1556,33,7632,24,394
3279,1563,32,7697,25,385
3280,1561,32,7680,41,380
3281,1554,33,7515,26,390
3282,1593,35,7677,36,393
3283,1529,35,7528,47,390
3284,1517,32,7516,24,390
3285,1559,35,7676,44,385
3286,1532,34,7575,34,392
3287,1519,32,7590,30,382
3288,1588,32,7574,36,385
3289,1507,35,7574,39,384
