,Carbonato_sodio [%],Caliza [%],Silica_arena [%],Densidad [g/cm3]
2535,13,7,60,2456
2536,17,5,61,2510
2537,14,8,61,2472
2538,16,8,66,2563
2539,17,6,69,2551
2540,14,10,67,2486
2541,15,11,63,2433
2542,15,9,60,2438
2543,12,6,67,2439
2544,14,9,65,2468
2545,13,9,65,2545
2546,14,10,66,2465
2547,16,5,60,2580
2548,16,5,62,2564
2549,14,11,60,2493
2550,16,8,68,2487
2551,12,10,61,2563
2552,17,10,65,2554
2553,14,11,67,2498
2554,15,5,60,2488
2555,14,8,60,2536
2556,14,11,69,2463
2557,16,6,64,2555
2558,16,9,67,2559
2559,14,7,69,2477
2560,13,9,69,2542
2561,14,11,68,2425
2562,16,6,62,2458
2563,14,7,66,2573
2564,13,7,62,2597
2565,13,5,65,2410
2566,16,5,69,2476
2567,17,7,69,2527
2568,16,6,68,2459
2569,13,10,66,2469
2570,14,7,63,2470
2571,17,6,63,2508
2572,16,5,69,2452
2573,12,6,65,2598
2574,14,8,67,2508
2575,17,11,69,2470
2576,16,10,66,2416
2577,12,9,64,2413
2578,13,11,67,2545
2579,14,9,67,2579
2580,15,6,64,2477
2581,17,6,60,2538
2582,15,6,66,2527
2583,13,7,67,2561
2584,16,5,61,2463
2585,12,11,61,2431
2586,16,7,69,2536
2587,13,8,64,2436
2588,17,8,64,2552
2589,13,10,62,2424
2590,13,10,67,2400
2591,16,5,69,2575
2592,13,10,65,2443
2593,12,10,63,2554
2594,17,9,61,2522
2595,15,10,64,2448
2596,14,9,63,2455
2597,17,11,68,2484
2598,17,7,65,2580
2599,13,5,67,2466
2600,14,6,68,2578
2601,12,9,66,2505
2602,15,9,66,2546
2603,17,11,69,2598
2604,12,11,62,2512
2605,13,9,69,2423
2606,16,8,61,2450
2607,17,8,62,2584
2608,17,8,63,2534
2609,13,5,65,2562
2610,17,5,67,2457
2611,16,7,66,2555
2612,14,11,64,2526
2613,16,8,68,2568
2614,15,10,61,2468
2615,15,9,65,2530
2616,13,6,63,2445
2617,14,9,61,2427
2618,14,5,69,2443
2619,12,5,61,2469
2620,12,9,63,2542
2621,16,5,61,2525
2622,17,11,62,2504
2623,14,8,65,2545
2624,15,10,68,2523
2625,12,6,61,2408
2626,16,8,68,2412
2627,17,5,68,2570
2628,15,11,65,2491
2629,13,10,62,2523
2630,15,8,66,2435
2631,13,11,68,2545
2632,12,7,64,2591
2633,16,9,62,2551
2634,13,6,66,2427
2635,12,10,65,2426
2636,17,7,65,2411
2637,17,6,60,2516
2638,13,8,63,2464
2639,14,10,63,2481
2640,16,5,67,2457
2641,12,10,68,2474
2642,13,6,68,2479
2643,15,11,69,2445
2644,14,8,66,2527
2645,16,8,62,2533
2646,16,10,64,2565
2647,17,10,68,2537
2648,17,9,62,2573
2649,12,11,64,2438
2650,13,11,64,2563
2651,13,7,67,2508
2652,13,6,65,2413
2653,14,5,68,2584
2654,13,10,60,2444
2655,16,8,65,2423
2656,16,5,66,2446
2657,15,7,60,2425
2658,12,9,65,2565
2659,13,5,64,2508
2660,13,6,69,2480
2661,16,11,63,2597
2662,12,7,60,2424
2663,12,6,62,2425
2664,16,10,64,2429
2665,14,5,69,2497
2666,17,7,61,2585
2667,15,10,67,2566
2668,15,10,69,2573
2669,16,8,67,2579
2670,16,8,65,2425
2671,15,5,62,2574
2672,13,7,61,2564
2673,17,8,61,2491
2674,17,10,65,2570
2675,16,5,69,2547
2676,12,9,62,2459
2677,14,7,65,2469
2678,14,9,67,2440
2679,12,5,68,2509
2680,12,6,68,2464
2681,15,8,63,2477
2682,17,10,68,2584
2683,14,11,67,2584
2684,15,7,65,2553
2685,17,10,64,2521
2686,17,11,64,2514
2687,14,10,64,2545
2688,14,5,63,2582
2689,17,8,67,2471
2690,13,7,65,2411
2691,17,9,61,2594
2692,17,6,64,2562
2693,14,6,64,2582
2694,17,7,65,2569
2695,17,11,65,2575
2696,14,7,60,2436
2697,15,10,66,2434
2698,13,10,65,2492
2699,16,7,64,2541
2700,17,6,64,2557
2701,13,9,64,2502
2702,17,10,66,2407
2703,13,9,68,2453
2704,12,9,69,2596
2705,17,8,60,2417
2706,17,7,60,2406
2707,12,11,69,2538
2708,12,8,66,2578
2709,17,10,67,2435
2710,15,5,61,2442
2711,17,6,62,2485
2712,16,11,64,2597
2713,16,7,61,2583
2714,16,5,65,2403
2715,12,8,65,2503
2716,12,6,62,2451
2717,16,11,68,2433
2718,13,10,63,2558
2719,16,9,65,2404
2720,15,8,67,2441
2721,17,11,67,2453
2722,15,9,68,2593
2723,15,8,65,2444
2724,15,5,64,2426
2725,12,11,63,2408
2726,17,7,68,2551
2727,13,7,66,2454
2728,17,10,63,2413
2729,14,8,65,2484
2730,14,6,62,2458
2731,12,11,67,2409
2732,16,5,68,2448
2733,15,7,69,2471
2734,12,7,62,2463
2735,17,7,66,2444
2736,17,6,65,2465
2737,12,5,60,2507
2738,12,7,68,2580
2739,14,5,66,2542
2740,15,8,64,2533
2741,14,8,67,2428
2742,15,9,65,2473
2743,14,11,68,2568
2744,14,7,69,2542
2745,13,6,65,2591
2746,17,11,68,2461
2747,15,11,63,2478
2748,17,7,60,2575
2749,12,5,62,2520
2750,13,8,64,2486
2751,12,8,60,2577
2752,17,8,66,2592
2753,14,6,66,2456
2754,12,6,61,2479
2755,15,7,65,2410
2756,15,7,63,2599
2757,16,10,63,2403
2758,15,9,60,2475
2759,14,6,68,2458
2760,15,10,63,2482
2761,14,8,69,2563
2762,13,11,68,2431
2763,12,7,66,2462
2764,14,9,62,2431
2765,14,11,66,2577
2766,17,7,63,2471
2767,12,5,62,2543
2768,15,11,68,2577
2769,12,10,66,2559
2770,13,7,69,2472
2771,14,11,61,2445
2772,12,11,67,2507
2773,17,9,61,2424
2774,13,6,63,2596
2775,17,9,64,2447
2776,16,11,66,2423
2777,16,10,63,2485
2778,15,5,62,2538
2779,16,9,69,2556
2780,16,6,67,2459
2781,17,5,62,2566
2782,12,8,69,2567
2783,14,8,62,2523
2784,13,7,65,2577
2785,13,7,65,2565
2786,12,7,61,2562
2787,17,10,63,2446
2788,13,11,68,2554
2789,16,6,67,2513
2790,17,8,68,2456
2791,14,8,67,2412
2792,12,10,64,2479
2793,14,8,64,2554
2794,15,7,65,2418
2795,13,6,69,2524
2796,14,7,64,2537
2797,12,5,64,2573
2798,14,11,63,2539
2799,12,10,67,2446
2800,15,8,62,2479
2801,17,5,65,2551
2802,13,7,61,2440
2803,17,7,66,2510
2804,12,11,63,2406
2805,13,7,62,2469
2806,12,5,65,2551
2807,17,5,66,2581
2808,13,5,61,2458
2809,16,8,68,2419
2810,12,8,63,2486
2811,15,10,67,2498
2812,16,6,66,2404
2813,14,8,63,2451
2814,15,7,67,2442
2815,16,9,62,2478
2816,17,6,60,2500
2817,13,11,62,2543
2818,14,9,60,2558
2819,16,8,67,2446
2820,12,10,68,2450
2821,16,7,68,2476
2822,12,6,60,2411
2823,17,7,60,2477
2824,17,7,60,2435
2825,15,11,65,2557
2826,15,9,67,2561
2827,13,5,60,2524
2828,14,5,66,2421
2829,12,7,62,2454
2830,14,6,64,2591
2831,16,10,60,2414
2832,14,6,68,2445
2833,17,9,61,2403
2834,15,5,69,2571
2835,14,8,63,2484
2836,16,7,62,2464
2837,17,6,65,2457
2838,14,7,68,2448
2839,13,9,61,2443
2840,16,5,62,2557
2841,14,11,67,2433
2842,14,5,69,2549
2843,17,5,66,2559
2844,16,8,64,2481
2845,14,10,67,2580
2846,14,7,67,2473
2847,16,5,68,2563
2848,13,5,65,2412
2849,12,5,62,2469
2850,16,9,60,2458
2851,14,7,64,2466
2852,17,11,66,2503
2853,16,9,63,2431
2854,15,6,60,2431
2855,14,11,62,2435
2856,13,7,67,2548
2857,13,5,65,2413
2858,13,9,61,2475
2859,17,5,65,2581
2860,13,7,65,2458
2861,17,6,62,2413
2862,15,9,63,2473
2863,14,7,60,2433
2864,13,10,69,2401
2865,12,6,63,2528
2866,12,10,67,2419
2867,14,5,64,2564
2868,16,5,68,2529
2869,13,9,63,2528
2870,12,10,61,2546
2871,17,6,64,2468
2872,17,8,61,2484
2873,16,11,67,2539
2874,16,5,69,2575
2875,16,8,60,2556
2876,13,6,67,2529
2877,12,11,66,2546
2878,15,11,69,2412
2879,14,9,69,2590
2880,12,11,65,2527
2881,17,11,63,2419
2882,17,7,64,2403
2883,13,11,69,2570
2884,13,6,60,2408
2885,13,8,60,2597
2886,13,5,69,2442
2887,17,9,69,2411
2888,13,5,60,2550
2889,16,10,67,2424
2890,12,5,60,2558
2891,14,7,69,2538
2892,17,5,63,2424
2893,15,9,65,2483
2894,13,10,68,2456
2895,16,6,61,2422
2896,16,6,60,2502
2897,15,8,63,2588
2898,15,11,69,2588
2899,13,6,61,2437
2900,12,9,69,2526
2901,16,8,62,2544
2902,17,8,61,2544
2903,12,5,61,2588
2904,16,8,67,2459
2905,14,10,67,2497
2906,16,5,67,2494
2907,15,5,68,2421
2908,16,6,62,2517
2909,12,7,66,2516
2910,17,8,60,2461
2911,16,11,69,2590
2912,14,10,60,2543
2913,17,5,67,2585
2914,17,10,68,2439
2915,13,9,65,2523
2916,12,5,63,2500
2917,17,7,66,2555
2918,15,8,64,2571
2919,16,9,63,2473
2920,14,5,62,2495
2921,15,6,60,2484
2922,13,5,67,2537
2923,12,5,62,2493
2924,12,11,66,2588
2925,12,6,60,2561
2926,15,7,60,2594
2927,13,5,60,2511
2928,12,11,62,2515
2929,15,5,68,2502
2930,12,7,64,2434
2931,17,7,68,2401
2932,13,8,68,2521
2933,13,11,67,2585
2934,12,11,63,2580
2935,17,5,65,2408
2936,13,5,61,2485
2937,14,8,64,2478
2938,12,7,63,2467
2939,17,6,63,2549
2940,16,7,63,2568
2941,15,6,68,2465
2942,15,5,68,2590
2943,13,9,65,2442
2944,17,8,60,2432
2945,12,10,61,2545
2946,13,5,66,2547
2947,13,8,60,2440
2948,13,10,65,2456
2949,13,9,61,2422
2950,17,7,64,2434
2951,17,7,65,2579
2952,13,11,67,2565
2953,12,6,66,2535
2954,16,8,62,2472
2955,16,5,60,2461
2956,17,8,67,2435
2957,17,10,64,2454
2958,16,7,63,2538
2959,15,9,63,2424
2960,13,7,63,2550
2961,16,10,67,2417
2962,17,7,60,2454
2963,16,6,66,2576
2964,14,10,64,2404
2965,14,5,67,2499
2966,15,11,62,2431
2967,15,9,65,2565
2968,13,11,61,2482
2969,16,10,60,2560
2970,17,10,67,2541
2971,13,5,60,2522
2972,12,9,69,2432
2973,15,10,62,2438
2974,15,7,61,2403
2975,17,6,63,2582
2976,16,10,68,2423
2977,13,10,66,2595
2978,14,11,67,2560
2979,16,7,63,2461
2980,15,6,63,2449
2981,15,8,60,2436
2982,12,6,66,2535
2983,15,8,60,2444
2984,15,8,60,2487
2985,15,8,60,2433
2986,14,9,66,2525
2987,12,9,63,2499
2988,13,9,69,2469
2989,12,6,65,2489
2990,14,9,64,2511
2991,16,6,60,2452
2992,15,5,69,2569
2993,17,7,62,2519
2994,16,5,63,2504
2995,15,11,68,2443
2996,12,7,60,2430
2997,16,7,63,2465
2998,13,5,65,2559
2999,14,10,65,2583
3000,13,10,64,2547
3001,16,7,65,2523
3002,16,7,61,2568
3003,17,11,66,2454
3004,14,11,60,2492
3005,17,9,68,2567
3006,12,7,62,2592
3007,16,8,66,2464
3008,17,11,64,2553
3009,13,11,68,2426
3010,15,9,62,2444
3011,14,11,62,2496
3012,17,8,62,2456
3013,17,8,65,2524
3014,17,8,68,2536
3015,13,7,60,2514
3016,16,5,63,2501
3017,17,5,69,2439
3018,12,6,63,2593
3019,17,6,61,2577
3020,16,9,62,2497
3021,17,5,63,2462
3022,15,7,63,2543
3023,12,7,62,2517
3024,16,10,64,2403
3025,14,10,60,2571
3026,15,9,67,2595
3027,15,9,65,2466
3028,17,10,61,2491
3029,15,8,68,2414
3030,16,5,64,2586
3031,17,10,65,2405
3032,17,6,68,2508
3033,17,11,64,2444
3034,14,8,60,2500
3035,16,11,62,2541
3036,15,9,63,2416
3037,16,9,60,2556
3038,13,10,67,2460
3039,12,9,65,2561
3040,16,5,64,2435
3041,12,11,67,2537
3042,15,10,60,2499
3043,17,8,62,2544
3044,14,6,65,2540
3045,15,5,68,2493
3046,13,6,62,2444
3047,15,10,67,2455
3048,15,9,68,2542
3049,14,8,66,2449
3050,13,8,61,2470
3051,16,11,65,2446
3052,13,5,61,2475
3053,14,11,63,2494
3054,12,8,60,2441
3055,15,5,66,2406
3056,13,9,62,2455
3057,15,10,64,2517
3058,17,9,63,2548
3059,16,6,69,2494
3060,16,9,64,2515
3061,17,7,66,2579
3062,14,9,65,2492
3063,13,7,63,2570
3064,17,6,65,2546
3065,15,8,67,2433
3066,12,5,63,2479
3067,17,10,68,2428
3068,17,11,68,2552
3069,14,11,63,2429
3070,14,6,65,2416
3071,16,7,64,2559
3072,13,9,63,2462
3073,16,5,69,2589
3074,17,9,69,2526
3075,15,7,64,2495
3076,14,11,67,2443
3077,15,6,63,2481
3078,16,7,67,2438
3079,13,11,61,2589
3080,13,11,65,2526
3081,15,6,61,2495
3082,16,5,62,2559
3083,15,9,64,2571
3084,14,5,69,2550
3085,14,10,62,2508
3086,15,11,60,2493
3087,16,8,60,2455
3088,12,11,66,2518
3089,17,7,62,2545
3090,12,5,61,2400
3091,13,5,68,2454
3092,12,8,65,2444
3093,12,6,66,2441
3094,16,6,68,2545
3095,17,10,68,2532
3096,12,9,66,2458
3097,12,6,67,2561
3098,13,8,67,2416
3099,15,5,61,2471
3100,15,11,62,2528
3101,13,7,66,2450
3102,12,8,61,2591
3103,12,10,63,2483
3104,14,10,60,2415
3105,17,8,69,2444
3106,14,10,64,2470
3107,16,5,63,2489
3108,12,11,61,2417
3109,12,5,67,2414
3110,14,10,64,2499
3111,12,10,60,2418
3112,15,9,66,2594
3113,12,6,68,2474
3114,12,8,61,2585
3115,14,11,69,2500
3116,14,8,67,2514
3117,16,11,62,2529
3118,17,7,63,2457
3119,17,6,67,2409
3120,13,7,65,2451
3121,12,11,67,2596
3122,14,11,63,2549
3123,13,9,69,2450
3124,17,5,66,2402
3125,17,11,65,2597
3126,12,6,60,2540
3127,14,6,60,2522
3128,13,9,60,2496
3129,12,7,68,2598
3130,12,9,60,2485
3131,12,5,69,2581
3132,12,9,68,2434
3133,13,7,65,2489
3134,14,7,69,2452
3135,13,6,60,2539
3136,12,6,69,2451
3137,12,11,62,2433
3138,17,7,65,2542
3139,13,11,62,2470
3140,16,6,69,2564
3141,12,10,61,2540
3142,12,5,61,2452
3143,17,7,68,2554
3144,16,6,62,2408
3145,14,7,65,2508
3146,17,6,64,2424
3147,13,5,60,2469
3148,12,6,62,2468
3149,14,5,60,2441
3150,12,8,68,2419
3151,16,5,67,2524
3152,17,11,66,2525
3153,13,8,67,2569
3154,17,5,66,2424
3155,15,6,64,2444
3156,16,7,60,2573
3157,15,5,62,2443
3158,12,5,60,2527
3159,15,6,66,2483
3160,16,7,66,2468
3161,15,8,65,2540
3162,17,6,65,2587
3163,13,5,66,2407
3164,16,7,66,2565
3165,12,9,62,2532
3166,12,7,69,2474
3167,15,9,69,2491
3168,16,11,68,2487
3169,13,6,60,2447
3170,16,11,63,2525
3171,17,7,66,2450
3172,16,6,65,2436
3173,14,11,65,2465
3174,14,8,65,2430
3175,12,8,69,2501
3176,17,5,62,2527
3177,13,9,66,2562
3178,16,6,62,2538
3179,14,8,69,2599
3180,12,7,68,2412
3181,16,8,64,2585
3182,12,10,66,2495
3183,15,11,60,2462
3184,14,8,66,2458
3185,14,7,69,2546
3186,14,8,66,2489
3187,16,9,63,2517
3188,14,5,63,2571
3189,15,11,66,2405
3190,14,11,63,2525
3191,12,5,63,2581
3192,16,7,67,2589
3193,13,5,62,2547
3194,13,8,69,2479
3195,12,7,65,2485
3196,17,9,63,2426
3197,13,11,62,2514
3198,13,9,65,2555
3199,17,5,65,2572
3200,15,8,64,2503
3201,15,7,61,2449
3202,14,8,60,2447
3203,12,7,66,2400
3204,14,11,62,2514
3205,17,5,61,2417
3206,17,5,65,2443
3207,17,5,67,2469
3208,17,9,65,2421
3209,15,9,67,2439
3210,16,11,60,2581
3211,16,11,67,2580
3212,16,6,69,2522
3213,16,11,60,2530
3214,15,5,62,2512
3215,17,6,62,2534
3216,13,9,61,2450
3217,14,10,64,2574
3218,15,5,66,2435
3219,12,7,64,2482
3220,14,5,66,2439
3221,12,9,61,2412
3222,16,11,68,2578
3223,12,8,69,2539
3224,13,9,65,2489
3225,14,10,60,2510
3226,16,7,62,2575
3227,13,5,60,2535
3228,16,7,60,2537
3229,14,7,63,2435
3230,16,6,62,2409
3231,14,8,69,2431
3232,15,10,66,2447
3233,15,5,69,2413
3234,17,6,63,2531
3235,14,7,63,2400
3236,16,9,68,2437
3237,15,9,63,2551
3238,17,11,68,2412
3239,17,8,67,2569
3240,17,11,61,2416
3241,15,11,67,2573
3242,16,10,63,2557
3243,13,11,61,2553
3244,13,5,64,2403
3245,17,7,61,2429
3246,12,7,67,2451
3247,13,5,61,2485
3248,14,8,61,2556
3249,15,7,68,2402
3250,15,5,64,2461
3251,12,7,67,2557
3252,14,7,66,2492
3253,17,9,63,2462
3254,16,7,64,2486
3255,15,10,69,2422
3256,14,7,69,2436
3257,17,8,62,2411
3258,12,5,67,2480
3259,13,11,60,2421
3260,15,5,69,2588
3261,17,8,61,2514
3262,15,11,67,2580
3263,16,6,68,2403
3264,16,6,60,2469
3265,16,6,60,2567
3266,15,9,65,2579
3267,17,5,64,2472
3268,15,10,67,2567
3269,12,11,66,2599
3270,15,7,67,2562
3271,12,7,65,2400
3272,17,7,64,2505
3273,12,11,65,2531
3274,12,6,61,2557
3275,12,11,68,2443
3276,17,11,69,2489
3277,17,11,64,2545
3278,12,10,68,2549
3279,15,7,69,2518
3280,12,6,61,2532
3281,16,10,60,2458
3282,17,10,65,2455
3283,14,5,63,2574
3284,15,7,65,2465
3285,17,5,69,2412
3286,12,5,69,2473
3287,12,7,67,2536
3288,17,10,68,2423
3289,12,7,65,2511
3290,16,9,69,2409
3291,13,6,64,2408
3292,15,10,63,2473
3293,15,11,63,2526
3294,13,7,65,2426
3295,17,8,62,2474
3296,17,6,65,2507
3297,17,8,69,2411
3298,16,10,68,2439
3299,15,6,60,2520
3300,12,6,66,2444
3301,17,11,66,2571
3302,17,8,64,2466
3303,17,8,68,2436
3304,17,7,63,2455
3305,13,10,68,2438
3306,13,5,68,2439
3307,15,9,65,2479
3308,12,8,63,2503
3309,17,11,67,2559
3310,16,9,67,2508
3311,12,9,68,2581
3312,12,6,67,2516
3313,15,9,63,2452
3314,17,9,67,2594
3315,13,8,65,2573
3316,16,7,63,2599
3317,16,11,66,2513
3318,17,9,65,2466
3319,13,9,65,2544
3320,15,9,66,2545
3321,17,8,68,2520
3322,17,8,67,2415
3323,16,8,60,2454
3324,16,11,65,2587
3325,12,6,65,2451
3326,13,7,64,2415
3327,13,10,61,2591
3328,16,5,69,2449
3329,12,8,69,2444
3330,16,7,64,2547
3331,15,11,61,2546
3332,16,7,62,2470
3333,15,11,60,2459
3334,17,11,63,2563
3335,16,11,65,2463
3336,13,9,63,2576
3337,16,6,66,2569
3338,15,10,63,2510
3339,13,11,62,2498
3340,16,9,63,2599
3341,14,7,62,2473
3342,15,10,69,2561
3343,13,8,64,2598
3344,14,10,68,2455
3345,17,8,60,2473
3346,15,5,68,2461
3347,17,7,69,2547
3348,13,6,69,2494
3349,15,9,68,2572
3350,13,9,63,2432
3351,14,5,60,2504
3352,16,6,64,2528
3353,17,10,65,2436
3354,17,6,63,2482
3355,15,8,68,2417
3356,17,7,69,2418
3357,17,7,62,2440
3358,13,11,61,2504
3359,13,11,66,2545
3360,14,11,63,2489
3361,17,6,67,2599
3362,17,9,66,2413
3363,17,10,63,2460
3364,16,7,60,2475
3365,13,6,62,2540
3366,12,6,67,2529
3367,15,5,68,2584
3368,17,6,61,2528
3369,15,9,68,2529
3370,15,10,69,2549
3371,16,9,62,2522
3372,15,11,62,2415
3373,12,7,61,2507
3374,15,5,69,2467
3375,15,6,61,2440
3376,15,6,63,2518
3377,15,5,60,2522
3378,17,5,66,2431
3379,14,6,62,2451
3380,13,11,69,2584
3381,14,9,62,2518
3382,15,10,62,2515
3383,13,6,63,2473
3384,16,6,64,2586
3385,15,5,60,2535
3386,13,10,63,2580
3387,13,5,64,2401
3388,17,5,65,2509
3389,17,10,60,2570
3390,13,5,67,2419
3391,17,11,60,2454
3392,12,8,66,2422
3393,13,6,62,2432
3394,15,7,63,2591
3395,16,11,60,2544
3396,15,6,61,2516
3397,17,9,66,2496
3398,12,9,64,2520
3399,17,6,67,2595
3400,12,8,65,2509
3401,17,6,62,2557
3402,12,6,61,2534
3403,12,5,67,2459
3404,14,9,67,2522
3405,14,9,60,2534
3406,14,7,66,2474
3407,13,6,64,2596
3408,17,9,67,2409
3409,13,9,64,2428
3410,16,11,63,2488
3411,16,8,62,2454
3412,15,9,67,2485
3413,16,8,64,2412
3414,15,10,65,2415
3415,14,7,69,2449
3416,16,6,68,2526
3417,15,5,68,2485
3418,17,9,66,2480
3419,12,11,67,2593
3420,16,5,61,2500
3421,12,5,69,2509
3422,13,6,67,2517
3423,16,11,68,2409
3424,15,11,62,2487
3425,16,8,60,2470
3426,13,8,62,2588
3427,14,6,60,2499
3428,16,9,62,2425
3429,12,9,68,2522
3430,12,10,65,2488
3431,16,8,64,2495
3432,12,10,66,2562
3433,16,11,66,2468
3434,16,11,63,2458
3435,17,5,69,2541
3436,17,10,64,2524
3437,17,8,63,2493
3438,17,6,66,2506
3439,17,9,68,2470
3440,14,8,65,2527
3441,13,6,68,2599
3442,15,11,64,2502
3443,14,6,64,2494
3444,16,9,62,2598
3445,16,5,67,2516
3446,14,5,67,2500
3447,14,7,65,2542
3448,12,8,60,2419
3449,16,7,60,2434
3450,13,8,68,2401
3451,12,5,67,2513
3452,12,11,65,2576
3453,14,9,68,2534
3454,17,11,67,2435
3455,14,9,67,2543
3456,12,7,60,2482
3457,13,7,65,2485
3458,14,11,68,2516
3459,12,7,62,2517
3460,16,8,65,2599
3461,17,10,61,2489
3462,13,7,65,2523
3463,13,11,66,2557
3464,13,9,63,2573
3465,17,6,64,2595
3466,12,5,61,2594
3467,15,9,61,2507
3468,14,6,62,2540
3469,14,6,67,2400
3470,15,8,64,2593
3471,12,8,67,2556
3472,13,10,63,2517
3473,17,10,67,2551
3474,17,9,65,2491
3475,17,8,60,2413
3476,16,5,64,2475
3477,13,8,68,2405
3478,13,9,64,2584
3479,14,6,68,2594
3480,17,6,63,2498
3481,13,8,67,2538
3482,12,8,62,2463
3483,14,10,61,2520
3484,12,8,62,2577
3485,12,8,67,2598
3486,14,11,66,2562
3487,14,5,68,2422
3488,16,7,60,2596
3489,17,9,68,2536
3490,16,6,66,2458
3491,15,7,66,2497
3492,12,8,64,2594
3493,15,11,61,2404
3494,17,5,69,2400
3495,16,5,65,2423
3496,17,11,63,2419
3497,14,10,60,2501
3498,13,10,61,2473
3499,14,6,63,2507
3500,16,10,61,2498
3501,14,7,65,2562
3502,16,6,66,2597
3503,14,9,65,2591
3504,13,10,60,2454
3505,15,8,61,2554
3506,13,8,64,2471
3507,15,10,66,2460
3508,13,5,66,2487
3509,14,7,61,2400
3510,15,11,60,2484
3511,12,10,66,2540
3512,14,6,69,2470
3513,14,6,66,2487
3514,17,7,69,2489
3515,15,11,68,2503
3516,15,10,67,2572
3517,17,5,62,2535
3518,17,10,66,2478
3519,12,10,60,2581
3520,12,6,66,2453
3521,12,9,64,2401
3522,12,11,62,2568
3523,15,8,67,2417
3524,15,11,68,2522
3525,14,8,67,2544
3526,17,6,69,2411
3527,12,5,66,2539
3528,17,11,63,2588
3529,14,9,69,2452
3530,13,8,69,2409
3531,14,7,61,2597
3532,13,9,61,2539
3533,14,11,67,2417
3534,14,5,68,2406
3535,12,5,68,2479
3536,15,9,66,2580
3537,17,7,61,2414
3538,16,7,63,2553
3539,15,5,60,2491
3540,17,8,65,2415
3541,17,9,67,2401
3542,16,6,69,2457
3543,12,9,64,2560
3544,12,9,60,2505
3545,16,10,64,2591
3546,13,6,62,2430
3547,14,11,65,2401
3548,13,8,66,2579
3549,16,5,63,2406
3550,12,6,63,2412
3551,16,9,68,2543
3552,16,11,66,2436
3553,12,11,60,2448
3554,15,5,61,2453
3555,15,8,64,2484
3556,14,7,65,2420
3557,13,11,66,2591
3558,15,6,61,2443
3559,15,8,69,2412
3560,15,10,63,2558
3561,17,10,67,2434
3562,16,7,65,2581
3563,17,11,61,2559
3564,13,8,65,2410
3565,14,7,63,2587
3566,14,10,69,2512
3567,15,7,69,2506
3568,17,7,69,2587
3569,17,8,65,2550
3570,12,7,65,2532
3571,17,8,60,2442
3572,13,10,61,2465
3573,17,7,69,2583
3574,14,10,65,2431
3575,15,9,68,2455
3576,14,6,61,2527
3577,16,5,62,2476
3578,15,9,64,2450
3579,14,7,65,2589
3580,17,9,62,2517
3581,16,10,66,2478
3582,13,11,60,2590
3583,15,8,61,2448
3584,15,9,62,2415
3585,14,11,61,2446
3586,15,6,66,2436
3587,12,6,61,2421
3588,16,9,61,2538
3589,17,8,63,2498
3590,12,6,69,2454
3591,16,5,65,2451
3592,13,11,69,2417
3593,12,6,66,2427
3594,14,8,68,2561
3595,12,11,68,2585
3596,17,9,65,2444
3597,17,7,60,2571
3598,12,10,65,2542
3599,15,8,60,2571
3600,13,6,60,2470
3601,16,8,67,2557
3602,14,10,66,2510
3603,15,5,60,2549
3604,15,5,60,2455
3605,17,11,67,2496
3606,12,7,64,2422
3607,16,5,60,2440
3608,12,6,60,2422
3609,15,9,65,2470
3610,16,5,62,2510
3611,17,6,64,2471
3612,17,10,60,2423
3613,12,7,68,2505
3614,13,11,64,2519
3615,13,10,65,2512
3616,12,7,60,2429
3617,15,9,63,2490
3618,17,9,61,2520
3619,17,8,64,2526
3620,14,6,64,2411
3621,14,6,62,2513
3622,17,5,69,2428
3623,15,6,64,2520
3624,14,11,66,2516
3625,16,5,61,2474
3626,15,7,69,2444
3627,13,7,62,2489
3628,16,7,67,2422
3629,16,10,64,2435
3630,15,7,60,2401
3631,12,5,67,2568
3632,15,10,69,2529
3633,16,5,61,2432
3634,12,10,64,2592
3635,13,10,60,2578
3636,15,10,67,2511
3637,16,9,65,2481
3638,13,5,63,2464
3639,16,9,69,2495
3640,12,10,62,2491
3641,12,5,66,2449
3642,12,7,65,2550
3643,13,7,69,2504
3644,15,10,69,2507
3645,16,9,64,2425
3646,16,8,63,2565
3647,15,11,63,2482
3648,13,11,68,2541
3649,16,6,60,2515
3650,12,8,65,2597
3651,12,10,63,2584
3652,16,10,69,2481
3653,14,5,68,2490
3654,17,9,61,2523
3655,14,11,64,2418
3656,14,7,64,2595
3657,14,7,67,2555
3658,17,8,60,2557
3659,12,6,68,2495
3660,13,7,60,2497
3661,17,10,69,2527
3662,16,6,64,2595
3663,12,10,64,2570
3664,14,7,64,2581
3665,16,11,61,2458
3666,15,11,67,2598
3667,12,9,60,2492
3668,16,6,64,2553
3669,17,8,66,2595
3670,17,5,69,2462
3671,13,8,69,2513
3672,16,8,69,2594
3673,12,10,68,2468
3674,14,6,65,2541
3675,16,5,65,2594
3676,17,9,64,2475
3677,13,5,62,2506
3678,12,11,62,2501
3679,13,7,64,2459
3680,14,7,63,2589
3681,14,9,69,2539
3682,15,5,68,2590
3683,13,7,64,2433
3684,14,9,64,2536
3685,12,11,61,2522
3686,15,5,65,2412
3687,14,11,69,2402
3688,16,6,61,2545
3689,12,10,62,2517
3690,12,6,65,2526
3691,13,10,63,2528
3692,17,9,68,2485
3693,14,7,60,2522
3694,17,6,68,2471
3695,17,5,65,2433
3696,12,8,69,2598
3697,15,11,62,2482
